링크,제목,신문사,요약
http://v.media.daum.net/v/20200723094930498,"안철수 ""행정수도 이전, 지역감정 부추겨 대선판 만들기""",연합뉴스,"(서울=연합뉴스) 이은정 기자 = 국민의당 안철수 대표는 23일 여권의 행정수도 이전 추진에 대해 ""지역감정을 부추겨서 2002년 대선판을 다시 한번 만들어 보겠다는 것 ..."
http://v.media.daum.net/v/20200723100139050,"""아프리카 대륙, 적어도 500만 년 뒤 두 동강 날 것""",서울신문,[서울신문 나우뉴스]지구상에서 가장 더운 지역인 소말리아 아파르 사막 땅속 깊숙한 곳에 있는 거대한 균열 탓에 아프리카 대륙은 언젠가 두 동강이 날 것이라고 과학...
http://v.media.daum.net/v/20200722201618566,"'무공천' 주장했던 이재명..""정치는 생물"" 입장 바꿔",JTBC,"[앵커] 서울과 부산시장 보궐선거에 민주당 후보를 안 내는 게 맞다고 했던 이재명 경기지사가 이틀 만에 입장을 바꿨습니다. 당 안에서 비판이 커지자 ""정치는 '생물'""..."
http://v.media.daum.net/v/20200723060027718,"[단독]2002년엔 ""검찰총장에 인사권"" 공동발의..180도 달라진 추미애",경향신문,[경향신문] 연초에 윤석열 검찰총장의 의견을 듣지 않고 검찰 인사를 했던 추미애 법무부 장관(사진)이 과거에는 검찰총장에게 검사 인사권을 주는 법안을 발의한 것으...
http://v.media.daum.net/v/20200722153746770,"[단독]'이해찬 경고'에도 또 당일 통보한 정부, 與 의원들 '분통'",서울경제,[서울경제] 이해찬 더불어민주당 대표가 “보도자료를 뿌려놓고 당과 논의하는 형식적인 당정은 하지 말라”고 경고한 지 한 달도 지나지 않아 또다시 당정 간 불협화음...
http://v.media.daum.net/v/20200723053014398,'518 가짜뉴스' 삭제요청 무시하더니..한국시장 돈되니 태도바꾼 유튜브,머니투데이,막강한 여론 지배력에도 불구하고 가짜뉴스 대응에 소극적으로 일관해왔던 유튜브가 느닷없이 자사 콘텐츠 자율 규제 시스템 홍보에 적극적이다. 유뷰트가 수익에만 혈...
http://v.media.daum.net/v/20200722220623878,'우편함 속 1억 6천만 원'..알고도 속는 보이스피싱,KBS,"[KBS 광주][앵커] '개인 정보가 유출돼 은행에 있는 예금이 위험하다'는 경찰 사칭 보이스 피싱 수법과 피해, 한 번쯤 들어보셨을텐데요. 며칠 전 광주에서 같은 수법에..."
http://v.media.daum.net/v/20200723090757752,이스타항공 출범 13년만에 파산하나..대량 실직 우려 현실화,연합뉴스,(서울=연합뉴스) 장하나 기자 = 제주항공이 23일 끝내 이스타항공과의 '노딜'(인수 무산)을 선언하면서 전북을 기반으로 한 저비용항공사(LCC)인 이스타항공은 출범 13...
http://v.media.daum.net/v/20200723053002388,"""2년 앞섰다"" 韓태양광 기술, 세계가 알아보기 시작했다",머니투데이,[편집자주] 정부의 야심찬 그린 뉴딜 정책 추진으로 국내 태양광발전사업도 퀀텀점프의 기로에 섰다. 중국의 저가공세에 맞서 핵심기술 추가 확보와 글로벌 시장 공략에...
http://v.media.daum.net/v/20200722172425490,남양주 공무원 4개월간 월급 모아 1억8천만원 기부,연합뉴스,(남양주=연합뉴스) 김도윤 기자 = 경기 남양주시 공무원들이 4개월간 월급 일부를 반납해 모은 1억8천200만원을 전액 기부했다. 이 돈은 신종 코로나바이러스 감염증(코...
http://v.media.daum.net/v/20200723093343816,음주운전 사고 현장 피하려다 2차 사고..20대 여성 2명 사망(종합),연합뉴스,(인천=연합뉴스) 신민재 김상연 기자 = 면허취소 수준의 음주운전 접촉사고에 따른 2차 추돌사고로 20대 여성 2명이 사망했다. 23일 인천지방경찰청 고속도로순찰대와 ...
http://v.media.daum.net/v/20200722215843787,"홍준표 ""통일 후 평양으로 수도 옮기자..민주당의 세종 천도론은 어처구니 없어""",경향신문,[경향신문] 홍준표 무소속 의원이 22일 남북 통일 후 평양으로 수도를 옮기는 방안을 제안했다. 홍 의원은 이날 오후 자신의 사회관계망서비스(SNS) 글을 올려 “통일을...
http://v.media.daum.net/v/20200723050617943,"현장예배 필요 더 강조한 개신교, 거리두기 일상 익숙해진 천주교",서울신문,"[서울신문]개신교 71% “온라인예배 집중력 떨어져”천주교 39% “하느님, 어디든 계신다 느껴” 코로나19 이후 개신교와 천주교 신자들의 신앙 의식과 행태는 큰 차이..."
http://v.media.daum.net/v/20200722134409168,"환자는 안중에 없는 의협 ""총파업 불사""",머니투데이,"대한의사협회(이하 의협)가 정부에 첩약 급여화 시범사업, 원격의료(비대면 의료) 도입 등 4대 의료정책 중단을 요구하고, 총파업을 불사하겠다고 밝혔다. 이에 코로나1..."
http://v.media.daum.net/v/20200723093003668,문 대통령 국정수행 부정평가 52%..2주 연속 긍정평가보다 앞서,뉴스1,(서울=뉴스1) 김정률 기자 = 문재인 대통령의 국정수행 부정평가가 2주 연속 50%대를 기록하며 오차 범위 밖에서 긍정평가를 앞선 것으로 23일 조사됐다. 여론조사 전문...
http://v.media.daum.net/v/20200723030108877,북한 수역서 활개치는 중국 '검은선단' 과학 앞에 실체 드러내,연합뉴스,(서울=연합뉴스) 엄남석 기자 = 북한 수역에서 선박 위치 확인 장치를 끄고 불법 어로를 해온 중국의 '검은 선단'이 과학기술 앞에 실체를 드러냈다. 국제 비영리단체 '...
